business_name,review_id,user_id,stars,review_date,review_text,funny,useful,cool
Thai Pan Fresh Exotic Cuisine,0ESSqLfOae77muWTv_zUqA,r-t7IiTSD0QZdt8lOUCqeQ,3,2011-02-11,Lately i have been feeling homesick for asian food and been hitting up places that i haven't been to in awhile.  Recently re-visited Thai Pan for a qu,1,1,1
Salon Lola,VyAKIaj_Rmsf_ZCHcGJyUw,SS85hfTApRnbTPcJadra8A,5,2010-05-30,I love Marilo!  She understands my hair type and knows exactly what to do with my hair.  She keeps a record of my previous visits.  She recommends wha,0,0,0
Chipotle Mexican Grill,DusrkpkTGPGkqK13xO1TZg,xAVu2pZ6nIvkdHh8vGs84Q,3,2011-11-26,"Standard Chipotle fare - consistently good; not bad for corporate food - if you have a few minutes, there are a number of good local offerings within ",0,0,0
Sam's Deli,A5FL-YYXnr2hnvXQbgkkrQ,Xuvj2Fq6c3mCmplVG7h21w,4,2013-10-10,Very good prices with quality ingredients.,0,0,0
Petco,SzhIWfzLHUZfiAaVTtKHxw,jHH_UDpCnF-YTnveyoMTIA,1,2012-09-02,"I went to this Petco a few times and was a bit appalled at their rodents section, to be perfectly honest. Granted, it wasn't as bad as it could have b",0,1,0
The Gilbert House,EaBnd0MGL61KhvFwS3bQvQ,b5TgTsk4dv8x2KDZYI-V7w,4,2011-05-16,This is the first unique (not chain) brunch place I have found in the east valley that serves alcohol! The food was DELISH! finally,0,0,0
Tilted Kilt Pub & Eatery,Rp1yvabsZ76dNwjG1MMTkA,P1qwZrslRv9KS9vPJNXe4g,2,2009-04-16,"Brian S. Sum's it up perfectly with ""if you're going to try to be a Hooters/Library sports bar rip-off, hire more attractive, more in-shape waitresses",1,5,3
Pugzie's,rrIMJijS60XTgjRTGBCLcw,vsXP832M0kOxKpfduD7dWw,?,2008-08-25,"Remember the no-bake cookies of your elementary school cafeteria?! Chocolate, peanut butter and rolled oats in a gooey lump? Uh, yea... you can buy gi",1,1,1
Jade Bar,6z6wOKSFVcZfCdhOPcZY5g,cgD3mG3fZkIccOk1R9O2UQ,5,2012-01-02,I love coming to this bar. Friendly bartenders and a beautiful view.,0,0,0
Hana Japanese Eatery,zSZ47fXX02XGxTJSQ-vulg,Iqjw_gWq6okooSkmZ9a_1A,5,2012-04-10,Great sushi rolls and BYOB!  Very friendly staff.  Three for lunch $25 per person including a generous tip.  Love this place!,0,1,0
Taberna del Tequila,dE2VhLieetdalviZc28WnA,RLmUj1QGMz2dLBcdayuBiw,3,2010-10-03,I just spent 8 days in Florida.  I have had a total of 2 drinks in the past 8 days.  This kookie tequila bar in the middle of the C terminal in Phoeni,5,4,2
Fry's Marketplace,8P7RLb7QqJEls-vJpNaQqQ,DzlIGo5om7KVOG3It2iQlg,5,2010-07-25,The sushi is amazing.  It is made daily in the store by an authentic sushi chef.  The rolls are more beautiful and delictable than in most actual sush,0,0,0
Canteen Modern Tequila Bar,qnpnnZ_JrOLsIdtn5aB9Hw,_4lqpCYCqOQzbB6xQGGhrQ,1,2010-10-14,"Ok, so the grand opening hasn't even happened yet for this place, but sorry Im gonna miss it.  Not...
A group of eight of us show up tonight for ""din",1,3,1
Herberger Theater Center,3mXO3UiaQCCFY4ZpG_E-tA,3nUQ4xbLlySDbkE03nyp-Q,2,2011-10-23,"This review is about the Attendants (Ushers).
Has a group they are totally unfamiliar with the seating plan.
****They'll send you to ANOTHER door, fo",1,2,1
Beckett's Table,QrPdGSAlxTICOoNXKD7Wcw,y7sq26EXGz7XG7DSo8TOuQ,4,2010-11-11,"Location: First off, my guest and I (we drove separately) had a little difficulty finding this place. I am not sure if this was because the sign was n",1,0,0
Stereo Joe,TJUBZv5b_jQAEAQf2zjoMg,8_KqOlVJo1D4_NUMWs2RBA,5,2013-06-18,I love Stereo Joe! I had bought a new radio thinking I could install it myself. That was a disaster. I went to Joe and it did it cheaply and quickly. ,0,2,0
